"","Day's High Price","Day's Close Price","Price Sold at based on Daily Trade Strategy","Total Capital value using Daily Trade Strategy","Total Capital value using Hold Strategy","NA"
"3149",56.799999,56.740002,3.64963510309553,56.740002,1035.40151524455,1035.40151524455
"3148",57.490002,56.860001,1.39329979905997,56.860001,1038.32328313728,1037.59127805824
"3147",56.990002,56.740002,1.53215924581937,56.740002,1049.60741336626,1035.40151524455
"3146",56.869999,54.990002,0.105611686224051,54.990002,1015.98156564415,1003.46720809247
"3145",55.700001,54.310001,0.161841392522177,54.310001,992.230873114264,991.058430493767
"3144",54,51.98,0.0926765506454758,51.98,955.999255393516,948.540163294528
"3143",52.75,52.23,1.75540123456789,52.23,963.191379421361,953.102207173398
"3142",54.290001,54.130001,3.27182994103101,54.130001,991.773831677186,987.773758900981
"3141",55.130001,54.799999,2.01702438902619,54.799999,1005.72176125859,1000
"3140",54.779999,52.450001,0.643025904831888,52.450001,969.136641259136,957.116824034979
"3139",52.189999,50.360001,0.520032762713128,50.360001,940.01779859365,918.97813720763
"3138",50.98,48.5,0.492805046323674,48.5,898.696298675183,885.036512500666
"3137",49.849998,49.529999,2.3403798468565,49.529999,913.825245093631,903.832115033433
"3136",50.459999,48.849998,2.76985958329366,48.849998,909.172366874096,891.423337434732
"3135",49.200001,48.580002,0.40816530612245,48.580002,901.379497981394,886.496403038255
"3134",51.450001,51.330002,4.40341323870563,51.330002,938.876062764205,936.678885705819
"3133",53.299999,52.470001,3.79747044975542,52.470001,959.354038380175,957.481787545288
"3132",53.540001,52.959999,1.34393142744913,52.959999,961.714688431396,966.423357051521
"3131",54.060001,53.970001,2.30885881907645,53.970001,982.281277372391,984.854050818505
"3130",54.75,54.650002,0.64337865281696,54.650002,986.795437488472,997.262828417205
"3129",54.75,53.93,0.458715596330275,53.93,976.474824656024,984.12410554971
"3128",54.25,51.509998,0.277268032431352,51.509998,929.726767551491,939.963484305903
"3127",52.43,51.799999,1.90475992410573,51.799999,936.051403175686,945.255473453567
"3126",52.700001,51.560001,2.92968744277954,51.560001,942.633014475718,940.875947826203
"3125",52.200001,51.080002,1.26091564036694,51.080002,934.038742943248,932.11684182695
"3124",51.650002,49.34,0.938057492204711,49.34,900.634617512001,900.364979933668
"3123",50.169998,49.200001,1.45601008177937,49.200001,896.081358668225,897.810253609676
"3122",51.150002,50.799999,3.83679268521287,50.799999,924.095289737212,927.007297938089
"3121",51.310001,50.990002,0.627572048339978,50.990002,924.095289737212,930.474506030557
"3120",52.25,50.41,0.384247845998999,50.41,894.978759858436,919.890527735228
"3119",49.799999,49.5,0.403227838839833,49.5,893.174403212528,903.284688016144
"3118",49.610001,47.580002,0.282999792136654,47.580002,859.050718256523,868.248227522778
"3117",48.889999,48.75,2.6885065597877,48.75,879.620282196706,889.598556379536
"3116",49.41,49.240002,1.25000207479512,49.240002,887.551338978642,898.540198878471
"3115",50.099998,49.889999,2.28664352797061,49.889999,904.041147694837,910.401458219005
"3114",52.619999,52.48,5.19791883246701,52.48,948.502187745402,957.664251052267
"3113",53.880001,53.32,3.0210363866355,53.32,967.000719265499,972.992718485269
"3112",54.939999,53.470001,1.47765056294147,53.470001,955.033808296283,975.729963060766
"3111",53.84,53.470001,0.0929522198744701,53.470001,949.35225386287,975.729963060766
"3110",53.5,52.830002,0.601729973674314,52.830002,943.104202148927,964.051148979036
"3109",53.48,52.619999,1.24952669443392,52.619999,939.533172547754,960.218977376259
"3108",53.130001,51.900002,0.701294567903517,51.900002,924.218638793253,947.080345749641
"3107",53.599998,53.27,3.07691923076923,53.27,946.790901702242,972.080309709495
"3106",53.5,53.029999,0.734323089167323,53.029999,945.364707684321,967.700729337604
"3105",52.66,51.900002,0.919892679187422,51.900002,940.291878488802,947.080345749641
"3104",52.099998,50.240002,0.0191937032059819,50.240002,906.897021613768,916.788374393949
"3103",52.150002,51.59,4.7820012055455,51.59,940.060625779672,941.423374843492
"3102",53.029999,52.950001,2.75140083798873,52.950001,964.468322236503,966.240911792717
"3101",54.990002,54.91,4.40479226902573,54.91,1005.48618919648,1002.00731755488
"3100",55.990002,55.799999,2.50824427880345,55.799999,1027.20852030183,1018.24817551548
"3099",56.779999,56.18,3.74565868810524,56.18,1054.42307090365,1025.18250045953
"3098",56.369999,55.720001,0.17771281322196,55.720001,1044.11683961569,1016.78835797059
"3097",56.84,56.610001,2.28540579449344,56.610001,1063.65764503798,1033.02923417937
"3096",56.939999,56.200001,1.38888710826211,56.200001,1064.41525489303,1025.54748221802
"3095",57.610001,57.110001,0.893175162633114,57.110001,1064.60172330227,1042.1533219371
"3094",57.200001,57.029999,0.704228885637834,57.029999,1068.91261063801,1040.69343139952
"3093",57.740002,55.740002,1.78036664903932,55.740002,1050.25896447714,1017.15333972908
"3092",54.450001,51.959999,1.5100708708067,51.959999,1017.36494707938,948.175181536043
"3091",52.060001,49.220001,0.0384319746650197,49.220001,962.234872220933,898.175217119986
"3090",51.369999,50.400002,3.79874100631476,50.400002,979.928016256794,919.708082476425
"3089",50.650002,48.27,0,48.27,933.882003493612,880.839432132106
"3088",48.279999,44.939999,0.186760742617978,44.939999,870.899713094431,820.07298941739
"3087",45.91,45.389999,2.45480690794896,45.389999,882.172198711991,828.284668399355
"3086",47.09,46.040001,2.30284819254506,46.040001,882.36388862125,840.146018980767
"3085",46.73,46.349998,1.34460851562331,46.349998,886.95648635677,845.802898646038
"3084",46.799999,45.860001,0.10694973262032,45.860001,870.07113050862,836.861347387981
"3083",46.25,45.59,0.872414432820696,45.59,865.137286154036,831.934321750626
"3082",47.360001,47.139999,3.27082417638848,47.139999,889.284123743564,860.218975551441
"3081",48.099998,47.060001,2.49307053057745,47.060001,891.747533617222,858.759158006554
"3080",47.700001,46.380001,0.866990888835034,46.380001,874.587663910481,846.350398656029
"3079",46.450001,45.529999,0.671872576330148,45.529999,863.025061254477,830.839412971522
"3078",45.369999,44.869999,0.0220414457221814,44.869999,853.70222182013,818.795617131307
"3077",46.16,44.650002,2.23698328961313,44.650002,844.248155552092,814.781073262428
"3076",45.380001,45.169998,1.29464735032695,45.169998,851.22072207617,824.270051537775
"3075",45.25,43.970001,0.154935812306331,43.970001,828.42355026361,802.372295663728
"3074",43.939999,42.32,0.0455396195600933,42.32,798.244222305201,772.262787815014
"3073",43.290001,42.939999,1.85882588235295,42.939999,806.508379000967,783.576638386435
"3072",43.849998,43.650002,1.50462265035595,43.650002,814.909526423599,796.532897746951
"3071",43.599998,43.009998,0.0688501262336449,43.009998,804.435554318566,784.853992424343
"3070",43.48,42.970001,1.069270106927,42.970001,803.50061770117,784.12412014825
"3069",43.490002,42.009998,1.77861455651769,42.009998,789.961604086705,766.605816908865
"3068",43.380001,43.169998,3.63115137049327,43.169998,814.683231099298,787.773700506819
"3067",44.470001,44.389999,3.13080248448059,44.389999,838.677844445558,810.036492883877
"3066",44.830002,44.09,2.37497368406088,44.09,844.423505758875,804.56205847741
"3065",45.060001,43.5,2.5022794017807,43.5,835.587428027718,793.795634923278
"3064",43.889999,42.709999,1.08245283659386,42.709999,821.923994917651,779.379558017875
"3063",43.200001,41.549999,1.12359547931658,41.549999,799.413398115426,758.211674419921
"3062",42.369999,41.279999,3.11511073253832,41.279999,803.109863100302,753.284667030742
"3061",42.610001,42.439999,3.04716580639255,42.439999,824.280131449267,774.452550628696
"3060",42.799999,41.080002,1.27780649682,41.080002,801.264341008633,749.635086672173
"3059",42.360001,42.130001,2.5914264327579,42.130001,817.56518940162,768.795652715249
"3058",43.450001,42.799999,0.952602208350313,42.799999,813.006237821048,781.021893814268
"3057",43.200001,43.009998,1.57536331002501,43.009998,822.181930045914,784.853992424343
"3056",43.75,42.799999,1.6732535829248,42.799999,817.787278679304,781.021893814268
"3055",41.849998,40.849998,0.239516167664669,40.849998,800.158292179043,745.437933310911
"3054",41.740002,40.23,1.01646176185867,40.23,779.050534713526,734.124100987666
"3053",40.380001,39.630001,0.173654175796226,39.630001,765.908526515481,723.175213926555
"3052",42.200001,41.990002,5.5000025,41.990002,804.012514005052,766.240926391258
"3051",42.490002,41.700001,1.14259467472483,41.700001,798.07960566966,760.948937243594
"3050",42.799999,42.759998,1.97759823736958,42.759998,813.101775772544,780.291948545473
"3049",43.93,43.799999,2.8564763019545,43.799999,833.852910315817,799.270069329746
"3048",44,43.279999,0.342079833162137,43.279999,823.013791804863,789.781018061697
"3047",44.84,44.740002,3.19907702648845,44.740002,847.448511943122,816.423409058821
"3046",46.25,46.09,0.543478260869565,46.09,849.106563379532,841.058409508365
"3045",47.09,46.959999,3.10926661306183,46.959999,873.09054331897,856.934303958655
"3044",46.970001,46.439999,1.42517811649368,46.439999,875.541418335154,847.445252690607
"3043",46.799999,45.849998,1.29869694158664,45.849998,868.908472092544,836.678810888299
"3042",48.150002,48.099998,0.64799749163879,48.099998,873.630764419615,877.737205798124
"3041",48.369999,47.959999,0.436044435215954,47.959999,870.00271154348,875.182479474133
"3040",48.34,46.580002,0.729314410114005,46.580002,844.44105761239,850.0000520073
"3039",47.66,46.790001,3.42881495534657,46.790001,857.452174809471,853.832150617375
"3038",47.599998,46.990002,1.31970625798213,46.990002,857.634725610928,857.481803968646
"3037",47.27,47.110001,4.23374219332932,47.110001,890.918953980231,859.671566782328
"3036",47.810001,45.200001,0.314731430969373,45.200001,844.933646891007,824.817551547766
"3035",46.490002,45.720001,2.8539844501331,45.720001,854.654122259654,834.306602815814
"3034",49.099998,48.860001,6.85527079749138,48.70700106,905.933369595233,891.605873934414
"3033",46.889999,46.290001,1.9347804347826,46.290001,911.644708358624,844.708062859636
"3032",47.759998,47.25,3.08654422246732,47.25,929.747692865306,862.226293106319
"3031",48.349998,46.970001,1.53296727284685,46.970001,917.05692945586,857.116822210161
"3030",47.080002,46.189999,0.383795292801906,46.189999,903.173920003441,842.883208811737
