"","Day's High Price","Day's Close Price","Price Sold at based on Daily Trade Strategy","Total Capital value using Daily Trade Strategy","Total Capital value using Hold Strategy","NA"
"784",45,38.23,7.01546033330465,44.57299894,1060,909.155788564941
"783",36.66,34.029999,0.355874633339026,34.029999,987.456882766408,809.274668472644
"782",33.59,31,3.00520996610825,31,938.704766239003,737.217615629432
"781",32.5,32,3.60216437353635,32,957.556632518057,760.998829036833
"780",33.209999,33.029999,0.789068261333273,33.029999,959.881446271118,785.493455065243
"779",32.950001,31.91,0.151972635138441,31.91,930.997419103846,758.858519830167
"778",31.690001,28.84,0.667093392630247,28.84,852.921396663117,685.850194669446
"777",29.549999,28.190001,2.96166540203256,28.190001,837.764954253997,670.392429735849
"776",29.67,29.6,3.92294584668813,29.6,868.57595497353,703.923916859071
"775",29.15,27.719999,0.899968878503592,27.719999,833.399980501567,659.215211871943
"774",27.65,26.9,1.65440802741146,26.9,824.208038650151,639.714640659088
"773",27.76,25.870001,3.97003355917478,25.870001,798.58659121726,615.220014630678
"772",27.17,26.809999,4.21940928270043,26.809999,821.254534405376,637.574307671208
"771",27.35,26.309999,1.2962962962963,26.309999,800.266888109293,625.683700967508
"770",27.76,27.1,4.55744273286037,27.1,816.844952339239,644.470883340568
"769",28.07,27.01,3.27446651949963,27.01,811.735914741827,642.330574133902
"768",27.77,27.4,1.05531295487627,27.4,809.37278253006,651.605247362788
"767",28.1,27.27,1.59074475777296,27.27,797.960801865319,648.513689619826
"766",28.32,28.290001,2.42314647377939,28.290001,816.430809502014,672.770551076589
"765",30.1,30.01,5.57699052963872,30.01,859.385780187844,713.674214356105
"764",32.080002,31.41,7.07611171816127,31.75759894,910.948926999115,746.967913126466
"763",32.18,31.91,2.02916607390088,31.91,921.635362679341,758.858519830167
"762",31.93,31.6,0.0313283208019988,31.6,912.395910421904,751.486343673873
"761",32.5,31.84,2.62077676034101,31.84,917.293520297866,757.193834891649
"760",33.450001,33.049999,3.20888923171862,33.049999,935.407279498641,785.969079333391
"759",33.02,32.060001,0.486911123344151,32.060001,912.634126704187,762.425725622491
"758",33.439999,33.099998,2.29427966638971,33.099998,924.080412747652,787.158116222547
"757",32.900002,32.23,1.35552376326322,32.23,917.53273630282,766.468508120535
"756",32.189999,31.360001,0.719649584469638,31.360001,900.307522787757,745.77887623731
"755",31.99,31.1,0.219298245614025,31.1,877.179322014387,739.595736970172
"754",31.73,30.77,1.536,30.77,863.705847628246,731.74793654573
"753",31.440001,31.200001,1.71465868650923,31.200001,871.809230336691,741.973882092126
"752",31.629999,31.469999,0.989779693486583,31.469999,875.984534064063,748.394762149697
"751",31.9,31.73,1.46310109850186,31.73,884.064515960184,754.577901416835
"750",32.880001,32.169998,2.42991603924711,32.169998,885.992382626008,765.041587753664
"749",32.48,31.469999,0.15417823003391,31.469999,859.765013729512,748.394762149697
"748",31.559999,30.969999,0.254126429479026,30.969999,845.836137720393,736.504155445997
"747",31.4,30.809999,2.28012696155938,30.809999,848.866765747961,732.699161300812
"746",31.07,30.719999,0.0966462597729946,30.719999,840.115507564275,730.558852094146
"745",30.5,28.25,0,28.25,778.139773399697,671.819278759079
"744",28.59,28.09,0.386235955056178,28.09,767.484067233058,668.014284613895
"743",29.290001,29.110001,3.46168150694743,29.110001,789.172121293201,692.271146070657
"742",29.5,29,0.306018361101666,29,778.170401819205,689.65518881463
"741",29.469999,28.76,1.62068620689654,28.76,771.730370907598,683.947697596854
"740",29,28.75,3.1294415672318,28.75,789.020176905166,683.70988546278
"739",29.450001,28.450001,2.18598542678695,28.450001,778.890521234287,676.575545221773
"738",29.49,29.34,3.87460739255397,29.34,804.95416336626,697.740801373146
"737",28.23,26.85,1.72972972972973,26.85,778.847541851679,638.525579988718
"736",24.540001,23.709999,5.82147452257547,23.709999,796.311929372309,563.852546108265
"735",24.040001,23.15,0.166670833333334,23.15,768.109215207039,550.535090381334
"734",23.370001,21.709999,0,21.709999,713.549404385374,516.290119293463
"733",21.58,20.879999,0.372093023255806,20.879999,692.972597675219,496.55171216532
"732",20.84,20.040001,0.337024554646126,20.040001,668.616829580356,476.57554046553
"731",22.16,21.09,8.84085909426036,21.58160106,708.733839355177,501.545790762088
"730",22.15,21.92,3.55306701977873,21.92,726.294833331478,521.284197890231
"729",22.450001,20.719999,1.12612607539973,20.719999,677.875114525148,492.746718020136
"728",21.15,20.719999,2.12458242996535,20.719999,678.20243231716,492.746718020136
"727",21.17,21.01,2.02409638554218,21.01,686.70039050523,499.643293689496
"726",21.82,21.809999,1.91499299392807,21.809999,699.529884643563,518.668240634203
"725",22.450001,21.6,1.35440632054177,21.6,682.160068094851,513.674209599862
"724",21.6,20.379999,0.88743577767399,20.379999,649.342433704484,484.66110546162
"723",21.41,21.200001,3.73062518074735,21.200001,666.960315447568,504.161748018115
"722",20.48,19.870001,0.19568981430088,19.870001,648.361129478589,472.532734186272
"721",20.08,19.049999,0.349825087456255,19.049999,617.255315752424,453.032091629776
"720",20.129999,20.01,5.66929163618328,20.01,648.361129478589,475.862080282095
"719",19.98,19.16,2.04290091930542,19.16,634.453485230326,455.648048885804
"718",19.530001,19.440001,0.878099128197368,19.440001,637.075193711561,462.30681242109
"717",19.73,19.440001,1.17948717948718,19.440001,635.114995016817,462.30681242109
"716",19.68,19.41,0.819672131147542,19.41,631.535965844079,461.593352237654
"715",19.530001,19.15,0.205238583889193,19.15,620.518919749313,455.41023675173
"714",19.379999,19.34,1.46596335078532,19.34,628.316016123127,459.928667299136
"713",19.379999,19.1,0.310553830227731,19.1,621.161278879489,454.22117608136
"712",19.450001,19.09,0.934099636741052,19.09,615.359045864527,453.983363947286
"711",18.700001,18.059999,0.107071734475378,18.059999,594.934890415113,429.488690356449
"710",18.27,17.73,1.05088495575222,17.73,583.417898620573,421.64091371322
"709",18.75,18.58,2.62725779967159,18.58,593.317162362903,441.854945109511
"708",19.26,18.959999,2.77481323372467,18.959999,600.282433569023,450.89178242311
"707",19.42,18.98,1.67539267015707,18.98,596.511025609427,451.367430472472
"706",19.200001,18.809999,0.734533092053167,18.809999,588.686903666799,447.324600412
"705",19.58,19.43,3.48837209302324,19.43,604.555313860777,462.068976505802
"704",21.16,20.93,1.92678227360308,20.93,609.505911324955,497.740796616904
"703",21.48,20.709999,2.48092091989127,20.709999,602.236040852574,492.508905886062
"702",22.08,22,4.49598222886807,22,627.032348593894,523.186694962823
